Subject,List,Nominal SP,word,Freq,Trialtype,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,OUTPUT ORDER,Correct,Rehearsals,Last RS,item-item,Kahana lag,Last R lag,GroupLastR,Group #R,fSP,Kahana lag+/-5,
24,4,11,GROIN,LOW,l,,,,,,,,,,,1,1,1,,,,5,1,3,13,LOWLOW,7,-2,13-14,3-4,8,,
24,4,15,PALL,LOW,l,,,,,,,,,,,,,,,2,,6,1,2,15,LOWLOW,4,2,15-16,1-2,12,4,
24,4,3,FOWL,LOW,l,,,2,1,1,,,1,1,,,,,,,,,0,6,9,,,,9-10,5+,4,,
24,4,5,PAIL,LOW,l,,,,,1,,,,,,,,,,,,,0,1,5,,,,1-8,1-2,1,,
24,4,6,DIRGE,LOW,l,,,,,,2,,,,,,,,,,,,0,2,6,,,,1-8,1-2,2,,
24,4,7,CROOK,LOW,l,,,,,,,1,,,,,,,,,,,0,1,7,,,,1-8,1-2,3,,
24,4,8,THUD,LOW,l,,,,,,,,2,1,1,,,,,,,,0,4,10,,,,9-10,3-4,6,,
24,4,9,HUE,LOW,l,,,,,,,,,1,1,,,,,,,,0,2,10,,,,9-10,1-2,5,,
24,4,10,NOOSE,LOW,l,,,,,,,,,,2,1,,,,,,,0,3,11,,,,11-12,3-4,7,,
24,4,12,FOAL,LOW,l,,,,,,,,,,,,2,1,1,,,,0,4,14,,,,13-14,3-4,9,,
24,4,13,QUART,LOW,l,,,,,,,,,,,,,2,1,1,,,0,4,15,,,,15-16,3-4,11,,
24,4,14,ACHE,LOW,l,,,,,,,,,,,,,,2,1,,,0,3,15,,,,15-16,3-4,13,,
24,5,1,FARM,HIGH,h,3,2,1,2,1,2,1,1,2,1,1,,2,1,1,1,1,1,22,16,,,,15-16,5+,15,,
24,5,3,EIGHT,HIGH,h,,,2,3,1,1,1,1,,1,1,1,1,1,,1,2,1,15,16,HIGHHIGH,2,0,15-16,5+,12,2,
24,5,11,TOWN,HIGH,h,,,,,,,,,,,2,1,1,,,,3,1,4,13,HIGHHIGH,8,-3,13-14,3-4,7,,
24,5,2,COURSE,HIGH,h,,3,1,3,1,2,1,1,1,1,1,2,,1,1,1,4,1,20,16,HIGHHIGH,-9,3,15-16,5+,16,,
24,5,12,SOUTH,HIGH,h,,,,,,,,,,,,2,1,,,,5,1,3,13,HIGHHIGH,10,-3,13-14,3-4,8,,
24,5,15,EARTH,HIGH,h,,,,,,,,,,,,,,,3,1,6,1,4,16,HIGHHIGH,3,3,15-16,3-4,13,3,
24,5,16,GROWTH,HIGH,h,,,,,,,,,,,,,,,,2,7,1,2,16,HIGHHIGH,1,0,15-16,1-2,14,1,
24,5,4,SQUARE,HIGH,h,,,,3,,,1,,,1,1,1,,1,,,,0,8,14,,,,13-14,5+,9,,
24,5,5,LAND,HIGH,h,,,,,2,,,,,1,,,,,,,,0,3,10,,,,9-10,3-4,4,,
24,5,6,NOTE,HIGH,h,,,,,,2,1,,,,,,,,,,,0,3,7,,,,1-8,3-4,1,,
24,5,7,COST,HIGH,h,,,,,,,2,1,,,,,,,,,,0,3,8,,,,1-8,3-4,2,,
24,5,8,WEEK,HIGH,h,,,,,,,,2,1,,,,,,,,,0,3,9,,,,9-10,3-4,3,,
24,5,9,WIFE,HIGH,h,,,,,,,,,1,1,1,,,,,,,0,3,11,,,,11-12,3-4,5,,
24,5,10,AIR,HIGH,h,,,,,,,,,,2,1,1,,,,,,0,4,12,,,,11-12,3-4,6,,
24,5,13,VIEW,HIGH,h,,,,,,,,,,,,,2,1,1,,,0,4,15,,,,15-16,3-4,10,,
24,5,14,HORSE,HIGH,h,,,,,,,,,,,,,,2,1,,,0,3,15,,,,15-16,3-4,11,,
24,6,16,TRUTH,HIGH,m,,,,,,,,,,,,,,,,1,1,1,1,16,,,,15-16,1-2,15,,
24,6,1,STUMP,LOW,m,3,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,2,1,17,16,HIGHLOW,-15,0,15-16,5+,14,,
24,6,2,FEAST,LOW,m,,2,1,1,,1,1,1,1,1,,,1,1,1,1,3,1,13,16,LOWLOW,1,0,15-16,5+,16,1,
24,6,7,HOME,HIGH,m,,,,,,,2,2,1,,,,1,1,1,,4,1,8,15,LOWHIGH,5,-1,15-16,5+,12,5,
24,6,3,MINCE,LOW,m,,,2,,,,,,1,,,,1,1,1,,5,1,6,15,HIGHLOW,-4,0,15-16,5+,11,-4,
24,6,4,BOOK,HIGH,m,,,,2,1,,,,,,,,,,,,,0,3,5,,,,1-8,3-4,1,,
24,6,5,RIGHT,HIGH,m,,,,,1,1,1,,,,,,,,,,,0,3,7,,,,1-8,3-4,3,,
24,6,6,MANE,LOW,m,,,,,,2,1,,,,,,,,,,,0,3,7,,,,1-8,3-4,2,,
24,6,8,LICE,LOW,m,,,,,,,,2,1,1,,,,,,,,0,4,10,,,,9-10,3-4,6,,
24,6,9,ROLE,HIGH,m,,,,,,,,,2,1,,,,,,,,0,3,10,,,,9-10,3-4,5,,
24,6,10,RAM,LOW,m,,,,,,,,,,1,,,,,,,,0,1,10,,,,9-10,1-2,4,,
24,6,11,ROOM,HIGH,m,,,,,,,,,,,2,,,,,,,0,2,11,,,,11-12,1-2,7,,
24,6,12,NOUN,LOW,m,,,,,,,,,,,,1,1,,,,,0,2,13,,,,13-14,1-2,8,,
24,6,13,FRONT,HIGH,m,,,,,,,,,,,,,2,1,,,,0,3,14,,,,13-14,3-4,9,,
