subject,stim1,stim2,resp,rt,freq,type,procedure,trial,rem,fam,new,acc
1,bottle2.pict,MAPLE,HighPicLowWord,478,Low,NA,study,33,0,0,0,NA
1,dog.pict,MIXER,HighPicLowWord,396,Low,NA,study,34,0,0,0,NA
1,shoes.pict,MACHINE,HighPicHighWord,388,High,NA,study,35,0,0,0,NA
1,bacon.pict,COURT,LowPicHighWord,533,High,NA,study,36,0,0,0,NA
1,salad.pict,SPRING,LowPicHighWord,623,High,NA,study,37,0,0,0,NA
1,elephant.pict,NOZZLE,LowPicLowWord,506,Low,NA,study,38,0,0,0,NA
1,pig.pict,LEAFLET,LowPicLowWord,570,Low,NA,study,39,0,0,0,NA
1,binoculars.pict,SATIN,LowPicLowWord,642,Low,NA,study,40,0,0,0,NA
1,cow.pict,NA,NEW,1830,NA,new,test,41,0,0,1,1
1,calculator.pict,NA,REM,1741,High,old,test,42,1,0,0,1
1,avocado.pict,NA,REM,1553,NA,new,test,43,1,0,0,0
1,strawberry2.pict,NA,REM,801,High,old,test,44,1,0,0,1
1,butterfly.pict,NA,NEW,670,NA,new,test,45,0,0,1,1
1,salad.pict,NA,NEW,1531,High,old,test,46,0,0,1,0
1,table.pict,NA,REM,1683,Low,old,test,47,1,0,0,1
1,egg.pict,NA,REM,990,Low,old,test,48,1,0,0,1
1,bowl.pict,NA,REM,826,High,old,test,49,1,0,0,1
1,dice.pict,NA,NEW,1126,NA,new,test,50,0,0,1,1
1,cat.pict,NA,REM,807,High,old,test,51,1,0,0,1
1,pepper.pict,NA,FAM,2159,NA,new,test,52,0,1,0,0
1,computer.pict,NA,NEW,1090,NA,new,test,53,0,0,1,1
1,guitar.pict,NA,NEW,1024,NA,new,test,54,0,0,1,1
1,bacon.pict,NA,REM,1010,High,old,test,55,1,0,0,1
1,squash.pict,NA,REM,878,Low,old,test,56,1,0,0,1
1,printer.pict,NA,NEW,687,NA,new,test,57,0,0,1,1
1,dog.pict,NA,NEW,1368,Low,old,test,58,0,0,1,0
1,owl.pict,NA,REM,938,High,old,test,59,1,0,0,1
1,mushroom.pict,NA,NEW,965,NA,new,test,60,0,0,1,1
1,pig.pict,NA,NEW,1013,Low,old,test,61,0,0,1,0
1,raspberry.pict,NA,NEW,1055,NA,new,test,62,0,0,1,1
1,duck.pict,NA,FAM,1360,High,old,test,63,0,1,0,1
1,earth.pict,NA,REM,837,High,old,test,64,1,0,0,1
1,grapes.pict,NA,NEW,913,NA,new,test,65,0,0,1,1
1,balloons.pict,NA,NEW,859,NA,new,test,66,0,0,1,1
1,skates.pict,NA,NEW,616,Low,old,test,67,0,0,1,0
1,chair2.pict,NA,NEW,1390,NA,new,test,68,0,0,1,1
1,camera.pict,NA,REM,797,High,old,test,69,1,0,0,1
1,flower.pict,NA,NEW,986,NA,new,test,70,0,0,1,1
1,watermelon.pict,NA,FAM,846,NA,new,test,71,0,1,0,0
1,iron.pict,NA,REM,1007,Low,old,test,72,1,0,0,1
1,lighthouse.pict,NA,FAM,1375,Low,old,test,73,0,1,0,1
1,pencil.pict,NA,REM,865,High,old,test,74,1,0,0,1
1,drum2.pict,NA,NEW,1048,NA,new,test,75,0,0,1,1
1,shoes.pict,NA,NEW,822,High,old,test,76,0,0,1,0
1,horse.pict,NA,NEW,1258,NA,new,test,77,0,0,1,1
1,bride.pict,NA,NEW,775,NA,new,test,78,0,0,1,1
1,scissors.pict,NA,NEW,1265,NA,new,test,79,0,0,1,1
1,car.pict,NA,REM,892,Low,old,test,80,1,0,0,1
1,zebra.pict,NA,FAM,1937,NA,new,test,81,0,1,0,0
1,pot2.pict,NA,NEW,1363,Low,old,test,82,0,0,1,0
1,apple.pict,NA,REM,1090,High,old,test,83,1,0,0,1
1,tiger.pict,NA,REM,720,Low,old,test,84,1,0,0,1
1,grill.pict,NA,FAM,1326,High,old,test,85,0,1,0,1
1,orange.pict,NA,REM,694,Low,old,test,86,1,0,0,1
1,refrigerator.pict,NA,REM,647,High,old,test,87,1,0,0,1
1,baby.pict,NA,REM,571,High,old,test,88,1,0,0,1
1,spoon.pict,NA,NEW,1745,Low,old,test,89,0,0,1,0
1,bottle2.pict,NA,NEW,910,Low,old,test,90,0,0,1,0
1,lemon.pict,NA,NEW,1390,NA,new,test,91,0,0,1,1
1,sock.pict,NA,NEW,3458,High,old,test,92,0,0,1,0
1,violin.pict,NA,NEW,1171,NA,new,test,93,0,0,1,1
1,knife.pict,NA,REM,1852,High,old,test,94,1,0,0,1
1,cup.pict,NA,NEW,951,Low,old,test,95,0,0,1,0
1,cheese.pict,NA,NEW,1029,NA,new,test,96,0,0,1,1
1,stereo.pict,NA,NEW,2014,NA,new,test,97,0,0,1,1
1,boots.pict,NA,NEW,1091,NA,new,test,98,0,0,1,1
1,sheep.pict,NA,NEW,1937,NA,new,test,99,0,0,1,1
1,briefcase.pict,NA,NEW,691,NA,new,test,100,0,0,1,1
1,pumpkins.pict,NA,FAM,2323,NA,new,test,101,0,1,0,0
1,stethoscope.pict,NA,NEW,995,NA,new,test,102,0,0,1,1
1,pineapple.pict,NA,NEW,492,NA,new,test,103,0,0,1,1
1,umbrella.pict,NA,NEW,363,High,old,test,104,0,0,1,0
1,tomato.pict,NA,NEW,775,NA,new,test,105,0,0,1,1
1,accordion.pict,NA,NEW,695,NA,new,test,106,0,0,1,1
1,muffin.pict,NA,NEW,689,NA,new,test,107,0,0,1,1
1,gloves.pict,NA,REM,1129,High,old,test,108,1,0,0,1
1,bike.pict,NA,NEW,1207,NA,new,test,109,0,0,1,1
1,cannon.pict,NA,NEW,955,NA,new,test,110,0,0,1,1
1,keyboard.pict,NA,NEW,718,NA,new,test,111,0,0,1,1
1,elephant.pict,NA,REM,1034,Low,old,test,112,1,0,0,1
1,lion.pict,NA,FAM,1341,NA,new,test,113,0,1,0,0
1,stove.pict,NA,NEW,1972,Low,old,test,114,0,0,1,0
1,basket.pict,NA,FAM,1025,Low,old,test,115,0,1,0,1
1,corn.pict,NA,NEW,983,NA,new,test,116,0,0,1,1
1,binoculars.pict,NA,NEW,882,Low,old,test,117,0,0,1,0
1,flag4.pict,NA,NEW,615,NA,new,test,118,0,0,1,1
1,piano.pict,NA,NEW,573,NA,new,test,119,0,0,1,1
1,basketball.pict,NA,FAM,1346,Low,old,test,120,0,1,0,1
2,watermelon.pict,BOULDER,LowPicLowWord,681,Low,NA,study,1,0,0,0,NA
2,pot2.pict,OFFICE,HighPicHighWord,522,High,NA,study,2,0,0,0,NA
2,bowl.pict,MORPHINE,HighPicLowWord,815,Low,NA,study,3,0,0,0,NA
2,scissors.pict,RACKET,LowPicLowWord,653,Low,NA,study,4,0,0,0,NA
2,bike.pict,RECORD,LowPicHighWord,603,High,NA,study,5,0,0,0,NA
2,knife.pict,BOARD,HighPicHighWord,703,High,NA,study,6,0,0,0,NA
2,cheese.pict,HOSPITAL,LowPicHighWord,600,High,NA,study,7,0,0,0,NA
2,violin.pict,SATIN,HighPicLowWord,692,Low,NA,study,8,0,0,0,NA
2,boots.pict,MIXER,HighPicLowWord,547,Low,NA,study,9,0,0,0,NA
2,stereo.pict,LETTER,HighPicHighWord,894,High,NA,study,10,0,0,0,NA
2,bacon.pict,BEVERAGE,LowPicLowWord,647,Low,NA,study,11,0,0,0,NA
2,raspberry.pict,MINSTREL,LowPicLowWord,801,Low,NA,study,12,0,0,0,NA
2,computer.pict,VAULT,HighPicLowWord,588,Low,NA,study,13,0,0,0,NA
2,camera.pict,WALLET,HighPicLowWord,596,Low,NA,study,14,0,0,0,NA
2,butterfly.pict,WHEEL,LowPicHighWord,528,High,NA,study,15,0,0,0,NA
2,dog.pict,POSTER,HighPicLowWord,756,Low,NA,study,16,0,0,0,NA
2,mushroom.pict,TAILOR,LowPicLowWord,673,Low,NA,study,17,0,0,0,NA
2,balloons.pict,HOTEL,LowPicHighWord,703,High,NA,study,18,0,0,0,NA
2,gloves.pict,MOUTH,LowPicHighWord,584,High,NA,study,19,0,0,0,NA
2,pepper.pict,CORNER,HighPicHighWord,873,High,NA,study,20,0,0,0,NA
2,stove.pict,VOTER,HighPicLowWord,690,Low,NA,study,21,0,0,0,NA
2,table.pict,KNUCKLE,HighPicLowWord,574,Low,NA,study,22,0,0,0,NA
2,drum2.pict,NAPKIN,HighPicLowWord,745,Low,NA,study,23,0,0,0,NA
2,horse.pict,MECHANIC,HighPicLowWord,619,Low,NA,study,24,0,0,0,NA
2,owl.pict,CHILDREN,LowPicHighWord,721,High,NA,study,25,0,0,0,NA
2,salad.pict,DRESS,LowPicHighWord,652,High,NA,study,26,0,0,0,NA
2,squash.pict,HUSBAND,LowPicHighWord,603,High,NA,study,27,0,0,0,NA
2,guitar.pict,SMILE,HighPicHighWord,733,High,NA,study,28,0,0,0,NA
2,lighthouse.pict,AUDIENCE,LowPicHighWord,620,High,NA,study,29,0,0,0,NA
2,grill.pict,PAPER,HighPicHighWord,739,High,NA,study,30,0,0,0,NA
2,calculator.pict,PASTE,LowPicLowWord,831,Low,NA,study,31,0,0,0,NA
2,corn.pict,STATION,HighPicHighWord,924,High,NA,study,32,0,0,0,NA
2,pig.pict,CRUMB,LowPicLowWord,721,Low,NA,study,33,0,0,0,NA
2,strawberry2.pict,BOUQUET,LowPicLowWord,682,Low,NA,study,34,0,0,0,NA
2,shoes.pict,COLUMN,HighPicHighWord,503,High,NA,study,35,0,0,0,NA
2,car.pict,CROWD,HighPicHighWord,752,High,NA,study,36,0,0,0,NA
2,flag4.pict,MORNING,HighPicHighWord,661,High,NA,study,37,0,0,0,NA
2,pineapple.pict,STAIR,LowPicLowWord,814,Low,NA,study,38,0,0,0,NA
2,sock.pict,CHIEF,LowPicHighWord,654,High,NA,study,39,0,0,0,NA
2,umbrella.pict,PENDULUM,LowPicLowWord,770,Low,NA,study,40,0,0,0,NA
2,balloons.pict,NA,REM,2589,High,old,test,41,1,0,0,1
2,dice.pict,NA,NEW,1085,NA,new,test,42,0,0,1,1
2,pig.pict,NA,REM,1345,Low,old,test,43,1,0,0,1
2,piano.pict,NA,NEW,1346,NA,new,test,44,0,0,1,1
2,owl.pict,NA,REM,1350,High,old,test,45,1,0,0,1
2,bacon.pict,NA,REM,1144,Low,old,test,46,1,0,0,1
2,elephant.pict,NA,NEW,1356,NA,new,test,47,0,0,1,1
2,umbrella.pict,NA,FAM,1265,Low,old,test,48,0,1,0,1
2,cow.pict,NA,NEW,1289,NA,new,test,49,0,0,1,1
2,briefcase.pict,NA,NEW,1126,NA,new,test,50,0,0,1,1
2,computer.pict,NA,REM,1017,Low,old,test,51,1,0,0,1
2,egg.pict,NA,NEW,1066,NA,new,test,52,0,0,1,1
2,bike.pict,NA,FAM,1321,High,old,test,53,0,1,0,1
2,lighthouse.pict,NA,FAM,1491,High,old,test,54,0,1,0,1
2,car.pict,NA,NEW,2728,High,old,test,55,0,0,1,0
2,scissors.pict,NA,REM,1257,Low,old,test,56,1,0,0,1
2,table.pict,NA,REM,991,Low,old,test,57,1,0,0,1
2,mushroom.pict,NA,REM,845,Low,old,test,58,1,0,0,1
2,dog.pict,NA,NEW,1220,Low,old,test,59,0,0,1,0
2,duck.pict,NA,NEW,1131,NA,new,test,60,0,0,1,1
2,bottle2.pict,NA,NEW,1095,NA,new,test,61,0,0,1,1
2,earth.pict,NA,NEW,1187,NA,new,test,62,0,0,1,1
2,sock.pict,NA,REM,1045,High,old,test,63,1,0,0,1
2,tiger.pict,NA,NEW,832,NA,new,test,64,0,0,1,1
2,knife.pict,NA,FAM,1339,High,old,test,65,0,1,0,1
2,pencil.pict,NA,NEW,1236,NA,new,test,66,0,0,1,1
2,apple.pict,NA,NEW,963,NA,new,test,67,0,0,1,1
2,pumpkins.pict,NA,NEW,1330,NA,new,test,68,0,0,1,1
2,flag4.pict,NA,REM,1130,High,old,test,69,1,0,0,1
2,cat.pict,NA,NEW,1221,NA,new,test,70,0,0,1,1
2,raspberry.pict,NA,REM,1549,Low,old,test,71,1,0,0,1
2,refrigerator.pict,NA,NEW,1493,NA,new,test,72,0,0,1,1
2,salad.pict,NA,REM,1055,High,old,test,73,1,0,0,1
