subject,cue_type,cued_recall_acc,free_recall_acc,MemCuePostprior2items,MemCuePostprior3items,cue_type_prioritem1,cue_type_prioritem2,cue_type_prioritem3,cue_type_prioritem4,cue_type_prioritem5,cue_type_consec_value,cue_type_consec_lab,stim1,stim2,list,trial,procedure,duration,addedTime,onset
1,TBF,0,0.5,TBR_TBF_?,TBR_TBR_TBF_?,TBF,TBR,TBR,TBR,TBF,-0.5,TBF1,word019,word043,1,19,Study,3000,0,54000
1,TBF,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBR,TBR,-1.5,TBF2,word020,word044,1,20,Study,3000,0,57000
1,TBR,1,1,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,TBR,TBR,-2.5,TBF3,word021,word045,1,21,Study,3000,0,60000
1,TBR,0,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBF,TBR,0.5,TBR1,word022,word046,1,22,Study,3000,0,63000
1,TBR,0,0,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBF,TBF,1.5,TBR2,word023,word047,1,23,Study,3000,0,66000
1,TBR,0,0,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBF,TBF,2.5,TBR3,word024,word048,1,24,Study,3000,30000,69000
1,TBF,0,0,NA_NA_?,NA_NA_NA_?,NA,NA,NA,NA,NA,NA,NA,word001,NA,1,25,Test,3000,0,102000
1,TBF,0,0,NA_TBF_?,NA_NA_TBF_?,TBF,NA,NA,NA,NA,-0.5,TBF1,word002,NA,1,26,Test,3000,0,105000
1,TBF,0,0,TBF_TBF_?,NA_TBF_TBF_?,TBF,TBF,NA,NA,NA,-1.5,TBF2,word003,NA,1,27,Test,3000,0,108000
1,TBF,0,0,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,NA,NA,-2.5,TBF3,word004,NA,1,28,Test,3000,0,111000
1,TBR,0,0,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,TBF,NA,-2.5,TBF3,word005,NA,1,29,Test,3000,0,114000
1,TBF,0,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBF,TBF,0.5,TBR1,word006,NA,1,30,Test,3000,0,117000
1,TBF,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBF,TBF,-0.5,TBF1,word007,NA,1,31,Test,3000,0,120000
1,TBR,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBF,TBF,-1.5,TBF2,word008,NA,1,32,Test,3000,0,123000
1,TBF,0,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBR,TBF,0.5,TBR1,word009,NA,1,33,Test,3000,0,126000
1,TBR,1,1,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBF,TBR,-0.5,TBF1,word010,NA,1,34,Test,3000,0,129000
1,TBR,1,0.5,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBF,0.5,TBR1,word011,NA,1,35,Test,3000,0,132000
1,TBR,0,0,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBR,TBF,1.5,TBR2,word012,NA,1,36,Test,3000,0,135000
1,TBF,0,0,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBF,TBR,2.5,TBR3,word013,NA,1,37,Test,3000,0,138000
1,TBF,0,0,TBR_TBF_?,TBR_TBR_TBF_?,TBF,TBR,TBR,TBR,TBF,-0.5,TBF1,word014,NA,1,38,Test,3000,0,141000
1,TBR,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBR,TBR,-1.5,TBF2,word015,NA,1,39,Test,3000,0,144000
1,TBR,0,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBR,TBR,0.5,TBR1,word016,NA,1,40,Test,3000,0,147000
1,TBR,0,0.5,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBF,TBR,1.5,TBR2,word017,NA,1,41,Test,3000,0,150000
1,TBF,0,0,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBF,TBF,2.5,TBR3,word018,NA,1,42,Test,3000,0,153000
1,TBF,0,0.5,TBR_TBF_?,TBR_TBR_TBF_?,TBF,TBR,TBR,TBR,TBF,-0.5,TBF1,word019,NA,1,43,Test,3000,0,156000
1,TBF,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBR,TBR,-1.5,TBF2,word020,NA,1,44,Test,3000,0,159000
1,TBR,1,1,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,TBR,TBR,-2.5,TBF3,word021,NA,1,45,Test,3000,0,162000
1,TBR,0,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBF,TBR,0.5,TBR1,word022,NA,1,46,Test,3000,0,165000
1,TBR,0,0,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBF,TBF,1.5,TBR2,word023,NA,1,47,Test,3000,0,168000
1,TBR,0,0,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBF,TBF,2.5,TBR3,word024,NA,1,48,Test,3000,0,171000
2,TBR,1,1,NA_NA_?,NA_NA_NA_?,NA,NA,NA,NA,NA,NA,NA,word001,word025,1,1,Study,3000,0,0
2,TBF,0,0,NA_TBR_?,NA_NA_TBR_?,TBR,NA,NA,NA,NA,0.5,TBR1,word002,word026,1,2,Study,3000,0,3000
2,TBF,1,0,TBR_TBF_?,NA_TBR_TBF_?,TBF,TBR,NA,NA,NA,-0.5,TBF1,word003,word027,1,3,Study,3000,0,6000
2,TBF,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,NA,NA,-1.5,TBF2,word004,word028,1,4,Study,3000,0,9000
2,TBR,1,1,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,TBR,NA,-2.5,TBF3,word005,word029,1,5,Study,3000,0,12000
2,TBF,1,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBF,TBR,0.5,TBR1,word006,word030,1,6,Study,3000,0,15000
2,TBR,1,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBF,TBF,-0.5,TBF1,word007,word031,1,7,Study,3000,0,18000
2,TBR,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBF,0.5,TBR1,word008,word032,1,8,Study,3000,0,21000
2,TBF,1,1,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBR,TBF,1.5,TBR2,word009,word033,1,9,Study,3000,0,24000
2,TBR,0,0.5,TBR_TBF_?,TBR_TBR_TBF_?,TBF,TBR,TBR,TBF,TBR,-0.5,TBF1,word010,word034,1,10,Study,3000,0,27000
2,TBR,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBR,TBF,0.5,TBR1,word011,word035,1,11,Study,3000,0,30000
2,TBR,1,0,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBR,TBR,1.5,TBR2,word012,word036,1,12,Study,3000,0,33000
2,TBR,1,1,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBF,TBR,2.5,TBR3,word013,word037,1,13,Study,3000,0,36000
2,TBR,0,0,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBR,TBF,2.5,TBR3,word014,word038,1,14,Study,3000,0,39000
2,TBF,1,1,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBR,TBR,2.5,TBR3,word015,word039,1,15,Study,3000,0,42000
2,TBR,1,1,TBR_TBF_?,TBR_TBR_TBF_?,TBF,TBR,TBR,TBR,TBR,-0.5,TBF1,word016,word040,1,16,Study,3000,0,45000
2,TBF,1,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBR,TBR,0.5,TBR1,word017,word041,1,17,Study,3000,0,48000
2,TBR,1,1,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBR,-0.5,TBF1,word018,word042,1,18,Study,3000,0,51000
2,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBR,0.5,TBR1,word019,word043,1,19,Study,3000,0,54000
2,TBF,1,1,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBF,-0.5,TBF1,word020,word044,1,20,Study,3000,0,57000
2,TBF,1,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBF,TBR,-1.5,TBF2,word021,word045,1,21,Study,3000,0,60000
2,TBF,1,0.5,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,TBR,TBF,-2.5,TBF3,word022,word046,1,22,Study,3000,0,63000
2,TBR,0,0,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,TBF,TBR,-2.5,TBF3,word023,word047,1,23,Study,3000,0,66000
2,TBF,1,1,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBF,TBF,0.5,TBR1,word024,word048,1,24,Study,3000,30000,69000
2,TBR,1,1,NA_NA_?,NA_NA_NA_?,NA,NA,NA,NA,NA,NA,NA,word001,NA,1,25,Test,3000,0,102000
2,TBF,0,0,NA_TBR_?,NA_NA_TBR_?,TBR,NA,NA,NA,NA,0.5,TBR1,word002,NA,1,26,Test,3000,0,105000
2,TBF,1,0,TBR_TBF_?,NA_TBR_TBF_?,TBF,TBR,NA,NA,NA,-0.5,TBF1,word003,NA,1,27,Test,3000,0,108000
2,TBF,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,NA,NA,-1.5,TBF2,word004,NA,1,28,Test,3000,0,111000
2,TBR,1,1,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,TBR,NA,-2.5,TBF3,word005,NA,1,29,Test,3000,0,114000
2,TBF,1,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBF,TBR,0.5,TBR1,word006,NA,1,30,Test,3000,0,117000
2,TBR,1,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBF,TBF,-0.5,TBF1,word007,NA,1,31,Test,3000,0,120000
2,TBR,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBF,0.5,TBR1,word008,NA,1,32,Test,3000,0,123000
2,TBF,1,1,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBR,TBF,1.5,TBR2,word009,NA,1,33,Test,3000,0,126000
2,TBR,0,0.5,TBR_TBF_?,TBR_TBR_TBF_?,TBF,TBR,TBR,TBF,TBR,-0.5,TBF1,word010,NA,1,34,Test,3000,0,129000
2,TBR,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBR,TBF,0.5,TBR1,word011,NA,1,35,Test,3000,0,132000
2,TBR,1,0,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBR,TBR,1.5,TBR2,word012,NA,1,36,Test,3000,0,135000
2,TBR,1,1,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBF,TBR,2.5,TBR3,word013,NA,1,37,Test,3000,0,138000
2,TBR,0,0,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBR,TBF,2.5,TBR3,word014,NA,1,38,Test,3000,0,141000
2,TBF,1,1,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBR,TBR,2.5,TBR3,word015,NA,1,39,Test,3000,0,144000
2,TBR,1,1,TBR_TBF_?,TBR_TBR_TBF_?,TBF,TBR,TBR,TBR,TBR,-0.5,TBF1,word016,NA,1,40,Test,3000,0,147000
2,TBF,1,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBR,TBR,0.5,TBR1,word017,NA,1,41,Test,3000,0,150000
2,TBR,1,1,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBR,-0.5,TBF1,word018,NA,1,42,Test,3000,0,153000
2,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBR,0.5,TBR1,word019,NA,1,43,Test,3000,0,156000
2,TBF,1,1,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBF,-0.5,TBF1,word020,NA,1,44,Test,3000,0,159000
2,TBF,1,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBF,TBR,-1.5,TBF2,word021,NA,1,45,Test,3000,0,162000
2,TBF,1,0.5,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,TBR,TBF,-2.5,TBF3,word022,NA,1,46,Test,3000,0,165000
2,TBR,0,0,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,TBF,TBR,-2.5,TBF3,word023,NA,1,47,Test,3000,0,168000
2,TBF,1,1,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBF,TBF,0.5,TBR1,word024,NA,1,48,Test,3000,0,171000
3,TBR,1,0,NA_NA_?,NA_NA_NA_?,NA,NA,NA,NA,NA,NA,NA,word001,word025,1,1,Study,3000,0,0
3,TBF,0,0,NA_TBR_?,NA_NA_TBR_?,TBR,NA,NA,NA,NA,0.5,TBR1,word002,word026,1,2,Study,3000,0,3000
3,TBR,1,0,TBR_TBF_?,NA_TBR_TBF_?,TBF,TBR,NA,NA,NA,-0.5,TBF1,word003,word027,1,3,Study,3000,0,6000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,NA,NA,0.5,TBR1,word004,word028,1,4,Study,3000,0,9000
3,TBF,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,NA,-0.5,TBF1,word005,word029,1,5,Study,3000,0,12000
3,TBR,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBF,TBR,-1.5,TBF2,word006,word030,1,6,Study,3000,0,15000
3,TBR,0,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBR,TBF,0.5,TBR1,word007,word031,1,7,Study,3000,0,18000
3,TBR,1,1,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBF,TBR,1.5,TBR2,word008,word032,1,8,Study,3000,0,21000
3,TBF,0,0,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBF,TBF,2.5,TBR3,word009,word033,1,9,Study,3000,0,24000
3,TBR,1,0,TBR_TBF_?,TBR_TBR_TBF_?,TBF,TBR,TBR,TBR,TBF,-0.5,TBF1,word010,word034,1,10,Study,3000,0,27000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBR,TBR,0.5,TBR1,word011,word035,1,11,Study,3000,0,30000
3,TBR,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBR,-0.5,TBF1,word012,word036,1,12,Study,3000,0,33000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBR,0.5,TBR1,word013,word037,1,13,Study,3000,0,36000
3,TBR,1,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBF,-0.5,TBF1,word014,word038,1,14,Study,3000,0,39000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBR,0.5,TBR1,word015,word039,1,15,Study,3000,0,42000
3,TBF,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBF,-0.5,TBF1,word016,word040,1,16,Study,3000,0,45000
3,TBR,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBF,TBR,-1.5,TBF2,word017,word041,1,17,Study,3000,0,48000
3,TBF,0,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBR,TBF,0.5,TBR1,word018,word042,1,18,Study,3000,0,51000
3,TBR,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBF,TBR,-0.5,TBF1,word019,word043,1,19,Study,3000,0,54000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBF,0.5,TBR1,word020,word044,1,20,Study,3000,0,57000
3,TBR,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBF,-0.5,TBF1,word021,word045,1,21,Study,3000,0,60000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBR,0.5,TBR1,word022,word046,1,22,Study,3000,0,63000
3,TBF,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBF,-0.5,TBF1,word023,word047,1,23,Study,3000,0,66000
3,TBR,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBF,TBR,-1.5,TBF2,word024,word048,1,24,Study,3000,30000,69000
3,TBR,1,0,NA_NA_?,NA_NA_NA_?,NA,NA,NA,NA,NA,NA,NA,word001,NA,1,25,Test,3000,0,102000
3,TBF,0,0,NA_TBR_?,NA_NA_TBR_?,TBR,NA,NA,NA,NA,0.5,TBR1,word002,NA,1,26,Test,3000,0,105000
3,TBR,1,0,TBR_TBF_?,NA_TBR_TBF_?,TBF,TBR,NA,NA,NA,-0.5,TBF1,word003,NA,1,27,Test,3000,0,108000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,NA,NA,0.5,TBR1,word004,NA,1,28,Test,3000,0,111000
3,TBF,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,NA,-0.5,TBF1,word005,NA,1,29,Test,3000,0,114000
3,TBR,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBF,TBR,-1.5,TBF2,word006,NA,1,30,Test,3000,0,117000
3,TBR,0,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBR,TBF,0.5,TBR1,word007,NA,1,31,Test,3000,0,120000
3,TBR,1,1,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBF,TBR,1.5,TBR2,word008,NA,1,32,Test,3000,0,123000
3,TBF,0,0,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBF,TBF,2.5,TBR3,word009,NA,1,33,Test,3000,0,126000
3,TBR,1,0,TBR_TBF_?,TBR_TBR_TBF_?,TBF,TBR,TBR,TBR,TBF,-0.5,TBF1,word010,NA,1,34,Test,3000,0,129000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBR,TBR,0.5,TBR1,word011,NA,1,35,Test,3000,0,132000
3,TBR,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBR,-0.5,TBF1,word012,NA,1,36,Test,3000,0,135000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBR,0.5,TBR1,word013,NA,1,37,Test,3000,0,138000
3,TBR,1,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBF,-0.5,TBF1,word014,NA,1,38,Test,3000,0,141000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBR,0.5,TBR1,word015,NA,1,39,Test,3000,0,144000
3,TBF,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBF,-0.5,TBF1,word016,NA,1,40,Test,3000,0,147000
3,TBR,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBF,TBR,-1.5,TBF2,word017,NA,1,41,Test,3000,0,150000
3,TBF,0,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBR,TBF,0.5,TBR1,word018,NA,1,42,Test,3000,0,153000
3,TBR,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBF,TBR,-0.5,TBF1,word019,NA,1,43,Test,3000,0,156000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBF,0.5,TBR1,word020,NA,1,44,Test,3000,0,159000
3,TBR,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBF,-0.5,TBF1,word021,NA,1,45,Test,3000,0,162000
3,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBR,0.5,TBR1,word022,NA,1,46,Test,3000,0,165000
3,TBF,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBF,-0.5,TBF1,word023,NA,1,47,Test,3000,0,168000
3,TBR,0,0,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBF,TBR,-1.5,TBF2,word024,NA,1,48,Test,3000,0,171000
4,TBF,0,0,NA_NA_?,NA_NA_NA_?,NA,NA,NA,NA,NA,NA,NA,word001,word025,1,1,Study,3000,0,0
4,TBF,0,0,NA_TBF_?,NA_NA_TBF_?,TBF,NA,NA,NA,NA,-0.5,TBF1,word002,word026,1,2,Study,3000,0,3000
4,TBR,0,0,TBF_TBF_?,NA_TBF_TBF_?,TBF,TBF,NA,NA,NA,-1.5,TBF2,word003,word027,1,3,Study,3000,0,6000
4,TBF,0,0,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,NA,NA,0.5,TBR1,word004,word028,1,4,Study,3000,0,9000
4,TBR,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBF,NA,-0.5,TBF1,word005,word029,1,5,Study,3000,0,12000
4,TBR,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBF,0.5,TBR1,word006,word030,1,6,Study,3000,0,15000
4,TBR,1,0,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBR,TBF,1.5,TBR2,word007,word031,1,7,Study,3000,0,18000
4,TBF,0,0,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBF,TBR,2.5,TBR3,word008,word032,1,8,Study,3000,0,21000
4,TBR,0,0,TBR_TBF_?,TBR_TBR_TBF_?,TBF,TBR,TBR,TBR,TBF,-0.5,TBF1,word009,word033,1,9,Study,3000,0,24000
4,TBF,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBR,TBR,0.5,TBR1,word010,word034,1,10,Study,3000,0,27000
4,TBR,0,0,TBR_TBF_?,TBF_TBR_TBF_?,TBF,TBR,TBF,TBR,TBR,-0.5,TBF1,word011,word035,1,11,Study,3000,0,30000
4,TBR,0,0,TBF_TBR_?,TBR_TBF_TBR_?,TBR,TBF,TBR,TBF,TBR,0.5,TBR1,word012,word036,1,12,Study,3000,0,33000
4,TBR,0,0,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBR,TBF,1.5,TBR2,word013,word037,1,13,Study,3000,0,36000
4,TBF,0,0.5,TBR_TBR_?,TBR_TBR_TBR_?,TBR,TBR,TBR,TBF,TBR,2.5,TBR3,word014,word038,1,14,Study,3000,0,39000
4,TBF,0,0,TBR_TBF_?,TBR_TBR_TBF_?,TBF,TBR,TBR,TBR,TBF,-0.5,TBF1,word015,word039,1,15,Study,3000,0,42000
4,TBF,0,1,TBF_TBF_?,TBR_TBF_TBF_?,TBF,TBF,TBR,TBR,TBR,-1.5,TBF2,word016,word040,1,16,Study,3000,0,45000
4,TBF,0,0,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,TBR,TBR,-2.5,TBF3,word017,word041,1,17,Study,3000,0,48000
4,TBR,0,0,TBF_TBF_?,TBF_TBF_TBF_?,TBF,TBF,TBF,TBF,TBR,-2.5,TBF3,word018,word042,1,18,Study,3000,0,51000
4,TBR,0,0.5,TBF_TBR_?,TBF_TBF_TBR_?,TBR,TBF,TBF,TBF,TBF,0.5,TBR1,word019,word043,1,19,Study,3000,0,54000
4,TBR,0,0.5,TBR_TBR_?,TBF_TBR_TBR_?,TBR,TBR,TBF,TBF,TBF,1.5,TBR2,word020,word044,1,20,Study,3000,0,57000
