"","subject","testtria","cond","wordcategory","studytria","stim1","stim2","resp","corr","conf","resptype","oldssn","oldresptype","ncorr","norec","incorr","simpleresp","expt","order","rt","blocknum","cond_prioritem1","cond_prioritem","cond_prioritem2","cond_prioritem3","cond_consec_value","cond_consec_lab","list","trial","procedure","duration","onset"
"14",1,12,"NEW",2,15,"032_c1","014_t","follow",0,1,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",1,14,"study",3000,39000
"15",1,5,"REP",2,16,"097_c","015_t","solid",1,4,1,1,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",1,15,"study",3000,42000
"16",1,13,"REP",1,17,"127_c","016_t","birds",1,3,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","REP",0.5,"REP1",1,16,"study",3000,45000
"17",1,18,"REP",2,18,"077_c","017_t","basis",0,2,3,1,11,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",1,17,"study",3000,48000
"18",1,6,"NEW",1,19,"013_c1","018_t","feet",1,5,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",1,18,"study",3000,51000
"19",1,17,"NEW",1,20,"025_c1","019_t","large",0,3,7,1,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",1,19,"study",3000,54000
"20",1,19,"NEW",1,21,"126_c1","020_t","last",0,2,7,1,5,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",1,20,"study",3000,57000
"21",1,21,"NEW",2,22,"017_c1","021_t","open",0,1,7,1,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",1,21,"study",3000,60000
"22",1,23,"NEW",1,23,"111_c1","022_t","east",1,2,1,1,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",1,22,"study",3000,63000
"23",1,24,"NEW",1,24,"003_c1","023_t","jobs",0,1,5,1,3,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",1,23,"study",3000,66000
"24",1,1,"REP",1,2,"010_c","tone","basis",0,2,4,1,12,0,0,1,3,1,NA,NA,NA,"NEW","NEW",NA,NA,-0.5,"NEW1",2,24,"study",3000,69000
"25",1,8,"REP",1,3,"029_c","inner","large",0,2,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","NEW",NA,0.5,"REP1",2,25,"study",3000,72000
"26",1,2,"REP",2,4,"118_c","spread","spread",1,5,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,26,"study",3000,75000
"27",1,22,"NEW",2,5,"143_c","orders","orders",1,3,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,27,"study",3000,78000
"28",1,16,"NEW",2,6,"035_c","activity","image",0,1,7,1,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,28,"study",3000,81000
"29",1,3,"NEW",2,7,"095_c","jobs","jobs",1,6,1,1,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",2,29,"study",3000,84000
"30",1,4,"REP",1,8,"020_c","basis","east",0,3,5,1,3,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,30,"study",3000,87000
"31",1,20,"REP",2,9,"062_c","goods","market",0,3,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","NEW","NEW",0.5,"REP1",2,31,"study",3000,90000
"32",1,14,"REP",1,10,"128_c","spot","heart",0,2,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,32,"study",3000,93000
"33",1,9,"NEW",1,11,"104_c","dropped","fail",0,1,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,33,"study",3000,96000
"34",1,15,"REP",1,12,"002_c","increase","order",0,2,5,1,3,0,0,1,3,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,34,"study",3000,99000
"35",1,10,"REP",2,13,"056_c","straight","straight",1,3,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","REP",0.5,"REP1",2,35,"study",3000,102000
