"subject","group","condition","list","stim1","stim2","free_recall_acc","cued_recall_acc","cue_type","trial","cue_type_prioritem1","cue_type_prioritem2","cue_type_prioritem3","cue_type_prioritem4","cue_type_consec_value","cue_type_consec_lab","procedure","testtria","response","duration","extra","onset"
1,"A","Reh","A2","Organisation","Statue",0,NA,"TBF",17,"TBF","TBF","TBR","TBR",-1.5,"TBF2","study",NA,NA,3000,0,48000
1,"A","Reh","A2","Regel","Bild",1,1,"TBR",18,"TBF","TBF","TBF","TBR",-2.5,"TBF3","study",NA,NA,3000,0,51000
1,"A","Reh","A2","Natur","Blick",0,NA,"TBF",19,"TBR","TBF","TBF","TBF",0.5,"TBR1","study",NA,NA,3000,0,54000
1,"A","Reh","A2","Ofen","Gardinen",0,1,"TBR",20,"TBF","TBR","TBF","TBF",-0.5,"TBF1","study",NA,NA,3000,0,57000
1,"A","Reh","A2","Wort","Anwendung",0,NA,"TBF",21,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,60000
1,"A","Reh","A2","Wirkung","Vertreter",0.5,0,"TBR",22,"TBF","TBR","TBF","TBR",-0.5,"TBF1","study",NA,NA,3000,0,63000
1,"A","Reh","A2","Erfahrung","Sand",0,NA,"TBF",23,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,66000
1,"A","Reh","A2","Luft","Unterstützung",1,1,"TBR",24,"TBF","TBR","TBF","TBR",-0.5,"TBF1","study",NA,NA,3000,0,69000
1,"A","Reh","A2","Luft",NA,1,1,"TBR",25,"TBF","TBR","TBF","TBR",-0.5,"TBF1","test",1,"Unterstützung",3000,60000,132000
1,"A","Reh","A2","Boden",NA,0,0,"TBR",26,"TBF","TBF","TBR","TBR",-1.5,"TBF2","test",2,"",3000,0,135000
1,"A","Reh","A2","Mensch",NA,1,0,"TBR",27,"TBR","TBF","TBR",NA,0.5,"TBR1","test",3,"",3000,0,138000
1,"A","Reh","A2","Farbe",NA,0,1,"TBR",28,"TBF","TBR",NA,NA,-0.5,"TBF1","test",4,"Rolle",3000,0,141000
1,"A","Reh","A2","Ofen",NA,0,1,"TBR",29,"TBF","TBR","TBF","TBF",-0.5,"TBF1","test",5,"Gardine",3000,0,144000
1,"A","Reh","A2","Schneider",NA,1,1,"TBR",30,NA,NA,NA,NA,NA,NA,"test",6,"Nacht",3000,0,147000
1,"A","Reh","A2","Erde",NA,0,1,"TBR",31,"TBF","TBR","TBR","TBF",-0.5,"TBF1","test",7,"Ordnung",3000,0,150000
1,"A","Reh","A2","Wirtschaft",NA,1,1,"TBR",32,"TBR","TBF","TBR","TBR",0.5,"TBR1","test",8,"Vertrag",3000,0,153000
1,"A","Reh","A2","Rede",NA,0,0,"TBR",33,"TBF","TBF","TBR","TBF",-1.5,"TBF2","test",9,"",3000,0,156000
1,"A","Reh","A2","Regel",NA,1,1,"TBR",34,"TBF","TBF","TBF","TBR",-2.5,"TBF3","test",10,"Bild",3000,0,159000
1,"A","Reh","A2","Wirkung",NA,0.5,0,"TBR",35,"TBF","TBR","TBF","TBR",-0.5,"TBF1","test",11,"",3000,0,162000
1,"A","Reh","A2","Abschluss",NA,0,0,"TBR",36,"TBR","TBF","TBF","TBR",0.5,"TBR1","test",12,"",3000,0,165000
1,"A","Att","B1","Verfassung","Locher",0,0,"TBR",1,NA,NA,NA,NA,NA,NA,"study",NA,NA,3000,0,0
1,"A","Att","B1","Rahmen","Abend",0,1,"TBR",2,"TBR",NA,NA,NA,0.5,"TBR1","study",NA,NA,3000,0,3000
1,"A","Att","B1","Wahrheit","Leute",0,1,"TBR",3,"TBR","TBR",NA,NA,1.5,"TBR2","study",NA,NA,3000,0,6000
1,"A","Att","B1","Schwester","Entwicklung",0,NA,"TBF",4,"TBR","TBR","TBR",NA,2.5,"TBR3","study",NA,NA,3000,0,9000
1,"A","Att","B1","Gefahr","Zahn",0,NA,"TBF",5,"TBF","TBR","TBR","TBR",-0.5,"TBF1","study",NA,NA,3000,0,12000
1,"A","Att","B1","Beginn","Gans",0,0,"TBR",6,"TBF","TBF","TBR","TBR",-1.5,"TBF2","study",NA,NA,3000,0,15000
1,"A","Att","B1","Eltern","Salz",0,1,"TBR",7,"TBR","TBF","TBF","TBR",0.5,"TBR1","study",NA,NA,3000,0,18000
1,"A","Att","B1","Gegner","Musik",0,1,"TBR",8,"TBR","TBR","TBF","TBF",1.5,"TBR2","study",NA,NA,3000,0,21000
1,"A","Att","B1","Soldat","Bericht",0,NA,"TBF",9,"TBR","TBR","TBR","TBF",2.5,"TBR3","study",NA,NA,3000,0,24000
1,"A","Att","B1","Schreibtisch","Stelle",0,NA,"TBF",10,"TBF","TBR","TBR","TBR",-0.5,"TBF1","study",NA,NA,3000,0,27000
1,"A","Att","B1","Schluß","Boot",0.5,1,"TBR",11,"TBF","TBF","TBR","TBR",-1.5,"TBF2","study",NA,NA,3000,0,30000
1,"A","Att","B1","Zukunft","Hilfe",0,NA,"TBF",12,"TBR","TBF","TBF","TBR",0.5,"TBR1","study",NA,NA,3000,0,33000
1,"A","Att","B1","Schlüssel","Weg",0,NA,"TBF",13,"TBF","TBR","TBF","TBF",-0.5,"TBF1","study",NA,NA,3000,0,36000
1,"A","Att","B1","Wagen","Decke",0,NA,"TBF",14,"TBF","TBF","TBR","TBF",-1.5,"TBF2","study",NA,NA,3000,0,39000
1,"A","Att","B1","Mutter","Papier",0,NA,"TBF",15,"TBF","TBF","TBF","TBR",-2.5,"TBF3","study",NA,NA,3000,0,42000
1,"A","Att","B1","Klausur","Bauch",1,1,"TBR",16,"TBF","TBF","TBF","TBF",-2.5,"TBF3","study",NA,NA,3000,0,45000
1,"A","Att","B1","Gesetz","Fräulein",0,NA,"TBF",17,"TBR","TBF","TBF","TBF",0.5,"TBR1","study",NA,NA,3000,0,48000
1,"A","Att","B1","Absicht","Welle",0,0,"TBR",18,"TBF","TBR","TBF","TBF",-0.5,"TBF1","study",NA,NA,3000,0,51000
1,"A","Att","B1","Freiheit","Reihe",0,NA,"TBF",19,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,54000
