,duration,freq,list,onset,procedure,sp,stim1,study_duration,subject,trial,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,wmAvailable,wmSpent,hits_pred,hits
22,0.85,hf,context1,14.151,study,23.0,fix,,0,23,fix.context1.,0.0,0.0,0.44005211884802364,1.0,1.0,True,fix.context1.,True,1.0,0.3999659417380274,1.3432769802343598,0.629207844555893,0.3817028945355114,
23,0.4,hf,context1,14.551,study,24.0,white,,0,24,white.context1.,0.0,0.0,0.3848629793907792,1.0,1.0,True,white.context1.,True,1.0,0.3999999928377232,1.112069135678467,0.5658784318392615,0.3817028945355114,
24,0.55,hf,context1,15.101,study,25.0,secret,,0,25,secret.context1.,0.0,0.0,0.3800653733764318,1.0,1.0,True,secret.context1.,True,1.0,0.39999649190678765,1.0934407038392062,0.5607824791925673,0.3817028945355114,
25,0.85,hf,context1,15.951,study,26.0,further,,0,26,further.context1.,0.0,0.0,0.4475218310076316,1.0,1.0,True,further.context1.,True,1.0,0.3989764086583455,1.3784082246466385,0.6398912518668282,0.3817028945355114,
26,0.4,hf,context1,16.351000000000003,study,27.0,passed,,0,27,passed.context1.,0.0,0.0,0.39065824314291353,1.0,1.0,True,passed.context1.,True,1.0,0.3988505111485706,1.1365169727798126,0.5737533532051279,0.3817028945355114,
27,0.85,lf,context1,17.201000000000004,study,28.0,candor,,0,28,candor.context1.,0.0,0.0,0.3849692719341882,1.0,1.0,True,candor.context1.,True,1.0,0.2190325163928081,1.4085136195746861,0.8620211770947616,0.3817028945355114,
28,0.55,lf,context1,17.751000000000005,study,29.0,defenseman,,0,29,defenseman.context1.,0.0,0.0,0.2893322385118792,1.0,1.0,True,defenseman.context1.,True,1.0,0.2003996002665334,1.0937424424799254,0.7850502230864628,0.3817028945355114,
29,0.55,hf,context1,18.301000000000005,study,30.0,their,,0,30,their.context1.,0.0,0.0,0.31253078165421777,1.0,1.0,True,their.context1.,True,1.0,0.4,0.8559422193934633,0.49576385193081435,0.3817028945355114,
30,0.55,hf,context1,18.851000000000006,study,31.0,finished,,0,31,finished.context1.,0.0,0.0,0.3283341678960601,1.0,1.0,True,finished.context1.,True,1.0,0.3999537032091993,0.9074283674626495,0.5099036035456563,0.3817028945355114,
31,0.85,hf,context1,19.701000000000008,study,32.0,figured,,0,32,figured.context1.,0.0,0.0,0.4170525331865387,1.0,1.0,True,figured.context1.,True,1.0,0.39990315878818894,1.2432747639169945,0.6018975069919179,0.3817028945355114,
