,Unnamed: 0,subject,stim1,stim2,freq,triatype,procedure,trial,rt,source,freq_prioritem1,freq_prioritem,freq_prioritem2,freq_prioritem3,freq_consec_value,freq_consec_lab,resp,rem,know,new,acc,duration,onset,list,old,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,old_pred
58,59,1,owl.pict,nan,high,old,test,59,938,original,high,high,low,high,0.5,high1,rem,1.0,0.0,0.0,1.0,2438,429.76099999999997,context1,1.0,context1.owl.pict.nan.,0.11152114726336207,0.2725871919230863,0.0,1.0,1.0,True,context1.owl.pict.hospital.,False,1.0,0.49081103434616036,0.3,0.3,3.0,1.0652058048349686,0.8741144299783727
60,61,1,pig.pict,nan,low,old,test,61,1013,original,low,low,high,high,-0.5,low1,new,0.0,0.0,1.0,0.0,2513,434.664,context1,0.0,context1.pig.pict.nan.,0.11324020457644235,0.27505391037750687,0.0,1.0,1.0,True,context1.pig.pict.leaflet.,False,1.0,0.4942205593227387,0.3,0.3,3.0,1.0595283543368463,0.8926019386817667
62,63,1,duck.pict,nan,high,old,test,63,1360,original,low,low,low,low,-2.5,low3,fam,0.0,1.0,0.0,1.0,2860,439.73199999999997,context1,1.0,context1.duck.pict.nan.,0.11259726223717732,0.27489936177434626,0.0,1.0,1.0,True,context1.duck.pict.column.,False,1.0,0.49242955324204235,0.3,0.3,3.0,1.0625055460737598,0.8859308484065882
63,64,1,earth.pict,nan,high,old,test,64,837,original,high,high,high,low,1.5,high2,rem,1.0,0.0,0.0,1.0,2337,442.592,context1,1.0,context1.earth.pict.nan.,0.11041578907809513,0.27126450013445835,0.0,1.0,1.0,True,context1.earth.pict.square.,False,1.0,0.4898851500941208,0.3,0.3,3.0,1.0667536386444691,0.8611147549675551
66,67,1,skates.pict,nan,low,old,test,67,616,original,low,low,low,low,-2.5,low3,new,0.0,0.0,1.0,0.0,2116,449.70099999999996,context1,0.0,context1.skates.pict.nan.,0.08170833068052494,0.2009501879566908,0.0,1.0,1.0,True,context1.skates.pict.poison.,False,1.0,0.489966839736824,0.3,0.3,3.0,1.0666148072748725,0.3115215049256852
68,69,1,camera.pict,nan,high,old,test,69,797,original,low,low,high,low,-0.5,low1,rem,1.0,0.0,0.0,1.0,2297,454.707,context1,1.0,context1.camera.pict.nan.,0.11026437022745798,0.27150366065734816,0.0,1.0,1.0,True,context1.camera.pict.college.,False,1.0,0.4900525624601437,0.3,0.3,3.0,1.0664736296718744,0.8592652328345004
71,72,1,iron.pict,nan,low,old,test,72,1007,original,high,high,high,low,1.5,high2,rem,1.0,0.0,0.0,1.0,2507,461.83599999999996,context1,1.0,context1.iron.pict.nan.,0.10746261513983456,0.2667863642133954,0.0,1.0,1.0,True,context1.iron.pict.racket.,False,1.0,0.48675045494937674,0.3,0.3,3.0,1.0720129027692744,0.8220290403544671
72,73,1,lighthouse.pict,nan,low,old,test,73,1375,original,low,low,high,low,-0.5,low1,fam,0.0,1.0,0.0,1.0,2875,464.34299999999996,context1,1.0,context1.lighthouse.pict.nan.,0.09336546805886933,0.2303135333737961,0.0,1.0,1.0,True,context1.lighthouse.pict.malaria.,False,1.0,0.4899222226097337,0.3,0.3,3.0,1.0666902125470272,0.5591353584106856
73,74,1,pencil.pict,nan,high,old,test,74,865,original,low,low,high,high,-0.5,low1,rem,1.0,0.0,0.0,1.0,2365,467.21799999999996,context1,1.0,context1.pencil.pict.nan.,0.10712676505697274,0.26641839946009055,0.0,1.0,1.0,True,context1.pencil.pict.crowd.,False,1.0,0.48649287962206333,0.3,0.3,3.0,1.0724486840635155,0.8171817989388841
75,76,1,shoes.pict,nan,high,old,test,76,822,original,low,low,low,high,-1.5,low2,new,0.0,0.0,1.0,0.0,2322,472.131,context1,0.0,context1.shoes.pict.nan.,0.10999349081798976,0.27155813708980253,0.0,1.0,1.0,True,context1.shoes.pict.machine.,False,1.0,0.4900906959628617,0.3,0.3,3.0,1.066408566322377,0.8559150173972658
