,cond,cond_prioritem1,epiA,ncorr_pred
0,new,new,0.13302403987683348,0.18171274267322746
1,new,rep,0.15872559640504436,0.2142744977602558
2,rep,new,0.19611746713181694,0.2672347855571633
3,rep,rep,0.19903956657187707,0.2716351742601406
