,subject,group,condition,list,stim1,stim2,free_recall_acc,cued_recall_acc,cue_type,trial,cue_type_prioritem1,cue_type_prioritem2,cue_type_prioritem3,cue_type_prioritem4,cue_type_consec_value,cue_type_consec_lab,procedure,testtria,response,duration,extra,onset,epiname,epiA_cued_recall,epiA_free_recall,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,cued_recall_acc_pred,free_recall_acc_pred
55,1,a,reh,contexta2,wirtschaft,nan,1,1,tbr,56,tbr,tbf,tbr,tbr,0.5,tbr1,test,8,vertrag,3000,0,153.001,wirtschaft.nan.contexta2.,0.830745213,0.506112953,0.35584077,0,1,0.987844561,TRUE,wirtschaft.vertrag.contexta2.,FALSE,1,0.57947729,0.3,0.3,3,0.778544582,0.337444497,0.175491796
56,1,a,reh,contexta2,rede,nan,0,0,tbr,57,tbf,tbf,tbr,tbf,-1.5,tbf2,test,9,nan,3000,0,156.001,rede.nan.contexta2.,0.860578773,1.057037945,0.390496195,0,1,0.98863947,TRUE,rede.vorstellung.contexta2.,FALSE,1,0.573347336,0.3,0.3,3,0.786383038,0.393390869,0.220262822
57,1,a,reh,contexta2,regel,nan,1,1,tbr,58,tbf,tbf,tbf,tbr,-2.5,tbf3,test,10,bild,3000,0,159.001,regel.nan.contexta2.,0.878433855,1.395256269,0.40314382,0,1,0.989259814,TRUE,regel.bild.contexta2.,FALSE,1,0.582200674,0.3,0.3,3,0.77507778,0.428048935,0.250717118
58,1,a,reh,contexta2,wirkung,nan,0.5,0,tbr,59,tbf,tbr,tbf,tbr,-0.5,tbf1,test,11,nan,3000,0,162.001,wirkung.nan.contexta2.,0.887002764,1.592190251,0.409483065,0,1,0.989761906,TRUE,wirkung.vertreter.contexta2.,FALSE,1,0.586638146,0.3,0.3,3,0.769498612,0.444898919,0.269426375
59,1,a,reh,contexta2,abschluss,nan,0,0,tbr,60,tbr,tbf,tbf,tbr,0.5,tbr1,test,12,nan,3000,0,165.001,abschluss.nan.contexta2.,0.853995956,0.941851083,0.387323246,0,1,0.990180162,TRUE,abschluss.rathaus.contexta2.,FALSE,1,0.571126272,0.3,0.3,3,0.789237953,0.380808025,0.210396427
48,1,a,att,contextb1,absicht,nan,0,0,tbr,49,tbf,tbr,tbf,tbf,-0.5,tbf1,test,1,nan,3000,60000,132.001,absicht.nan.contextb1.,0.918007928,2.764400292,0.424476695,0,1,0.898833216,TRUE,absicht.welle.contextb1.,FALSE,1,0.597133686,0.3,0.3,3,0.761730935,0.506480646,0.393124618
49,1,a,att,contextb1,sicherheit,nan,1,1,tbr,50,tbf,tbf,tbr,tbr,-1.5,tbf2,test,2,politik,3000,0,135.001,sicherheit.nan.contextb1.,0.939506932,3.882903155,0.440328982,0,1,0.952463732,TRUE,sicherheit.politik.contextb1.,FALSE,1,0.608230288,0.3,0.3,3,0.74432756,0.549179017,0.522507583
50,1,a,att,contextb1,klausur,nan,1,1,tbr,51,tbf,tbf,tbf,tbf,-2.5,tbf3,test,3,bauch,3000,0,138.001,klausur.nan.contextb1.,0.900358463,2.050999587,0.414098111,0,1,0.970898687,TRUE,klausur.bauch.contextb1.,FALSE,1,0.589868677,0.3,0.3,3,0.76585763,0.471350091,0.315558913
52,1,a,att,contextb1,wahrheit,nan,0,1,tbr,53,tbr,tbr,nan,nan,1.5,tbr2,test,5,leute,3000,0,144.001,wahrheit.nan.contextb1.,0.85676815,1.015427067,0.385798383,0,1,0.982884126,TRUE,wahrheit.leute.contextb1.,FALSE,1,0.570058868,0.3,0.3,3,0.790723764,0.386092481,0.216668371
53,1,a,att,contextb1,schluß,nan,0.5,1,tbr,54,tbf,tbf,tbr,tbr,-1.5,tbf2,test,6,boot,3000,0,147.001,schluß.nan.contextb1.,0.873020477,1.304612482,0.397397256,0,1,0.985244359,TRUE,schluß.boot.contextb1.,FALSE,1,0.578178079,0.3,0.3,3,0.780234214,0.417469254,0.242342822
