,Unnamed: 0,subject,list,trial,stim1,freq,acc,nominal.sp,composition,freq_prioritem1,freq_prioritem,freq_prioritem2,freq_prioritem3,freq_consec_value,freq_consec_lab,source,procedure,duration,onset,testtype,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,wmAvailable,wmSpent,acc_pred
18,307,1,context10,19,year,high,0,5,mixed,high,high,low,high,0.5,high1,original,test,3000,918.001,free_recall,context10.year.,0.46199695691472104,0.40650478772634174,0.4747961698189267,1.0,0.9745763465632966,False,context10.year.,True,1.0,0.643902872635704,2.8,0.43374852154142635,0.3957183133427654
19,308,1,context10,20,moat,low,1,13,mixed,high,high,low,high,0.5,high1,original,test,3000,921.001,free_recall,context10.moat.,0.4986954530891724,0.4397361533822041,0.4482110772942367,1.0,0.9757288237785018,False,context10.moat.,True,1.0,0.5789482972477353,2.8,0.4867397248169868,0.43706527806916834
20,309,1,context10,21,plan,high,0,4,mixed,low,low,high,high,-0.5,low1,original,test,3000,924.001,free_recall,context10.plan.,0.445113068213115,0.39283428580415686,0.48573257135667447,1.0,0.9767717254286915,False,context10.plan.,True,1.0,0.6357005145495358,2.8,0.4539227275246789,0.37705391959922474
21,310,1,context10,22,maize,low,1,15,mixed,low,low,low,high,-1.5,low2,original,test,3000,927.001,free_recall,context10.maize.,0.3754739658621491,0.31872425494839446,0.5450205960412845,1.0,0.9777203775658949,False,context10.maize.,True,1.0,0.5688283011523028,2.8,0.5967221283611743,0.30347465724265865
22,311,1,context10,23,south,high,0,12,mixed,low,low,high,low,-0.5,low1,original,test,3000,930.001,free_recall,context10.south.,0.47699835393623946,0.4240565560457281,0.4607547551634175,1.0,0.9785873405905353,False,context10.south.,True,1.0,0.6542513283563045,2.8,0.4083124803432685,0.4125062737262124
23,312,1,context10,24,hoe,low,1,3,mixed,high,high,high,nan,1.5,high2,original,test,3000,933.001,free_recall,context10.hoe.,0.4265607343500333,0.3784230586902384,0.4972615530478093,1.0,0.9793830105518331,False,context10.hoe.,True,1.0,0.513665129412719,2.8,0.6354349300083904,0.35687291312223807
24,313,1,context10,25,cloak,low,0,11,mixed,high,high,low,low,0.5,high1,original,test,3000,936.001,free_recall,context10.cloak.,0.4559195053232384,0.40650478772634174,0.4747961698189267,1.0,0.9801160693873139,False,context10.cloak.,True,1.0,0.5559684592078671,2.8,0.5489447537217653,0.38896988590782156
25,314,1,context10,26,sage,low,1,8,mixed,low,low,high,high,-0.5,low1,original,test,3000,939.001,free_recall,context10.sage.,0.435936932110334,0.3888881438503569,0.48888948491971446,1.0,0.9807938267398209,False,context10.sage.,True,1.0,0.5307324586861902,2.8,0.6003877470055723,0.36702627025452655
26,315,1,context10,27,well,high,0,6,mixed,high,high,high,low,1.5,high2,original,test,3000,942.001,free_recall,context10.well.,0.42370019929699904,0.3784230586902384,0.4972615530478093,1.0,0.9814224827363383,False,context10.well.,True,1.0,0.627053835214143,2.8,0.47559469417493644,0.3537949698217743
27,316,1,context10,28,soot,low,1,14,mixed,low,low,high,low,-0.5,low1,original,test,3000,945.001,free_recall,context10.soot.,0.3483093184238365,0.3017763078120524,0.5585789537503582,1.0,0.982007332328966,False,context10.soot.,True,1.0,0.5373553364585701,2.8,0.6631471271646843,0.2766177806673904
28,317,1,context10,29,tribe,low,0,7,mixed,high,high,high,high,2.5,high3,original,test,3000,948.001,free_recall,context10.tribe.,0.41862816944535713,0.37531551898958104,0.4997475848083352,1.0,0.9825529258675524,False,context10.tribe.,True,1.0,0.5591131009574551,2.8,0.5687270080370103,0.34836098839611856
30,319,1,context10,31,fowl,low,1,9,mixed,low,low,low,high,-1.5,low2,original,test,3000,954.001,free_recall,context10.fowl.,0.41692504303625316,0.37531551898958104,0.4997475848083352,1.0,0.9835415621585335,False,context10.fowl.,True,1.0,0.5085823728421829,2.8,0.6459658242487554,0.3465432146941726
31,320,1,context10,32,earth,high,1,16,mixed,low,low,low,low,-2.5,low3,original,test,3000,957.001,free_recall,context10.earth.,0.4394506111969065,0.3970586782843897,0.4823530573724883,1.0,0.9839910078682113,False,context10.earth.,True,1.0,0.638229445819825,2.8,0.44745057992316767,0.37085572285612334
16,337,1,context11,17,race,high,1,2,pure,high,high,nan,nan,0.5,high1,original,test,3000,1008.001,free_recall,context11.race.,0.4585311747503926,0.40159988270164126,0.478720093838687,1.0,0.9718623311678009,False,context11.race.,True,1.0,0.6407146063070643,2.8,0.44134880579567143,0.39186592182258395
17,338,1,context11,18,hall,high,0,12,pure,high,high,high,high,3.5,high4,original,test,3000,1011.001,free_recall,context11.hall.,0.5330976017911581,0.47088443897504234,0.4232924488199661,1.0,0.9732953866663862,False,context11.hall.,True,1.0,0.6819433701601592,2.8,0.34008272498284786,0.4764691739814966
18,339,1,context11,19,left,high,1,4,pure,high,high,high,high,2.5,high3,original,test,3000,1014.001,free_recall,context11.left.,0.45671880301468004,0.40159988270164126,0.478720093838687,1.0,0.9745763465632968,False,context11.left.,True,1.0,0.6409599296209847,2.8,0.44096681083331024,0.3898555668505792
19,340,1,context11,20,sun,high,0,16,pure,high,high,high,high,3.5,high4,original,test,3000,1017.001,free_recall,context11.sun.,0.567033897049972,0.5041736958516825,0.39666104331865404,1.0,0.9757288237785017,False,context11.sun.,True,1.0,0.7024107566230027,2.8,0.2876153213820054,0.5155681641516986
20,341,1,context11,21,door,high,1,14,pure,high,high,high,high,3.5,high4,original,test,3000,1020.001,free_recall,context11.door.,0.5167849387492005,0.4586209656715585,0.4331032274627532,1.0,0.9767717254286913,False,context11.door.,True,1.0,0.6751725794029126,2.8,0.3578240727960429,0.457732145183017
21,342,1,context11,22,space,high,0,8,pure,high,high,high,high,3.5,high4,original,test,3000,1023.001,free_recall,context11.space.,0.4592362750254179,0.40650478772634174,0.4747961698189267,1.0,0.9777203775658949,False,context11.space.,True,1.0,0.6437423641979282,2.8,0.43383999843322374,0.3926488312050944
22,343,1,context11,23,bed,high,1,15,pure,high,high,high,high,3.5,high4,original,test,3000,1026.001,free_recall,context11.bed.,0.5033167047576812,0.4481885790346025,0.441449136772318,1.0,0.9785873405905352,False,context11.bed.,True,1.0,0.6689131465960495,2.8,0.3731482881961016,0.4423309463025056
23,344,1,context11,24,health,high,1,3,pure,high,high,high,nan,1.5,high2,original,test,3000,1029.001,free_recall,context11.health.,0.42679184687299554,0.3784230586902384,0.4972615530478093,1.0,0.9793830105518334,False,context11.health.,True,1.0,0.6248375736634169,2.8,0.4783649691635943,0.3571220012894629
