,composition,duration,freq,list,onset,procedure,sp,stim1,stim2,subject,trial,testtype,epiname,reduce_wm,stim1.semB,stim1.semA,list.semB,list.semA,stim2.semB,stim2.semA,epiA,epiB,retrievedName,sameNode,relatedNode,wmSpent,epiS,wmAvailable,acc_pred,acc,experiment
215,Pure LF,500,LF,context2,324.001,test,6,nan,position_6,4,12,,nan.context2.position_6.,False,0.99,0.99,1.0,1.0,0.9908076972478722,1.0,0.12311998886613926,0.07610670472030065,wormy.context2.position_6.,False,True,0.15369305471533204,0.0,0.8676821240765291,0.11827871635155662,0.45,1.0
216,Mixed HHHLLL,10000,HF,context3,334.001,study,1,mind,position_1,4,1,,mind.context3.position_1.,False,0.4,1.0,1.0,1.0,0.99,1.0,0.0,0.0,mind.context3.position_1.,True,True,1.1070776699189926,0.7344920078415011,3.6137890624999995,0.07195740569505976,,
217,Mixed HHHLLL,1000,HF,context3,335.001,study,2,bring,position_2,4,2,,bring.context3.position_2.,False,0.3999999999999988,1.0,1.0,1.0,0.99,1.0,0.0,0.0,bring.context3.position_2.,True,True,0.9532834813399855,0.6545273356791665,2.943891568362257,0.07195740569505976,,
218,Mixed HHHLLL,1000,HF,context3,336.001,study,3,women,position_3,4,3,,women.context3.position_3.,False,0.3999999993631188,1.0,1.0,1.0,0.99,1.0,0.0,0.0,women.context3.position_3.,True,True,0.8347971617952241,0.5855197947847058,2.4277882628035217,0.07195740569505976,,
219,Mixed HHHLLL,1000,LF,context3,337.001,study,4,choral,position_4,4,4,,choral.context3.position_4.,False,0.204351952989758,1.0,1.0,1.0,0.99,1.0,0.0,0.0,choral.context3.position_4.,True,True,1.0094734177809306,0.46868764898312887,2.0301712767895475,0.07195740569505976,,
220,Mixed HHHLLL,1000,LF,context3,338.001,study,5,aerating,position_5,4,5,,aerating.context3.position_5.,False,0.2003996002665334,1.0,1.0,1.0,0.99,1.0,0.0,0.0,aerating.context3.position_5.,True,True,0.860671938056293,0.358506491137056,1.457878034789867,0.07195740569505976,,
221,Mixed HHHLLL,1000,LF,context3,339.001,study,6,frenetically,position_6,4,6,,frenetically.context3.position_6.,False,0.2003996002665334,1.0,1.0,1.0,0.99,1.0,0.0,0.0,frenetically.context3.position_6.,True,True,0.7462057575573714,0.24903891388911967,1.034386272514824,0.07195740569505976,,
222,Mixed HHHLLL,500,HF,context3,339.501,test,1,nan,position_1,4,7,,nan.context3.position_1.,False,0.99,0.99,1.0,1.0,0.9954196620568273,1.0,1.2658514716620957,0.5243999846538374,mind.context3.position_1.,False,True,0.08975755483150336,0.0,0.5067706028480776,0.9183583541065459,0.92,1.0
223,Mixed HHHLLL,500,HF,context3,340.001,test,2,nan,position_2,4,8,,nan.context3.position_2.,False,0.99,0.99,1.0,1.0,0.994899706892664,1.0,0.9731909597567618,0.4740897481023905,bring.context3.position_2.,False,True,0.11257575867295759,0.0,0.6356031359071992,0.7685062411250676,0.81,1.0
224,Mixed HHHLLL,500,HF,context3,340.501,test,3,nan,position_3,4,9,,nan.context3.position_3.,False,0.99,0.99,1.0,1.0,0.9944523145030977,1.0,0.8099201741230921,0.4308005983488432,women.context3.position_3.,False,True,0.1313524105263549,0.0,0.7416174651248666,0.6426807724784598,0.68,1.0
225,Mixed HHHLLL,500,LF,context3,341.001,test,4,nan,position_4,4,10,,nan.context3.position_4.,False,0.99,0.99,1.0,1.0,0.9937230133463762,1.0,0.6196163009260046,0.3508075311248557,choral.context3.position_4.,False,True,0.14680492695773034,0.0,0.8288551424891366,0.47462457495917226,0.45,1.0
226,Mixed HHHLLL,500,LF,context3,341.501,test,5,nan,position_5,4,11,,nan.context3.position_5.,False,0.99,0.99,1.0,1.0,0.9929041411354615,1.0,0.4598501092577924,0.27347571782624086,aerating.context3.position_5.,False,True,0.15952099754861745,0.0,0.9006403034220314,0.3357658286675111,0.34,1.0
227,Mixed HHHLLL,500,LF,context3,342.001,test,6,nan,position_6,4,12,,nan.context3.position_6.,False,0.99,0.99,1.0,1.0,0.9920606079100703,1.0,0.31390776915858276,0.19404230065952335,frenetically.context3.position_6.,False,True,0.1699847157605481,0.0,0.9597093937640389,0.22564672067280211,0.54,1.0
228,Mixed LLLHHH,10000,LF,context4,352.001,study,1,pauser,position_1,4,1,,pauser.context4.position_1.,False,0.2003996002665334,1.0,1.0,1.0,0.99,1.0,0.0,0.0,pauser.context4.position_1.,True,True,1.4433961438631808,0.683445815752885,3.6137890624999995,0.07195740569505976,,
229,Mixed LLLHHH,1000,LF,context4,353.001,study,2,exhortation,position_2,4,2,,exhortation.context4.position_2.,False,0.2007984021312017,1.0,1.0,1.0,0.99,1.0,0.0,0.0,exhortation.context4.position_2.,True,True,1.1707764177996758,0.5560739679411357,2.607573094418069,0.07195740569505976,,
