,Unnamed: 0,subject,testtria,cond,wordcategory,studytria,stim1,stim2,resp,corr,conf,resptype,oldssn,oldresptype,ncorr,norec,incorr,simpleresp,expt,order,rt,blocknum,cond_prioritem1,cond_prioritem,cond_prioritem2,cond_prioritem3,cond_consec_value,cond_consec_lab,list,trial,procedure,duration,onset,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,ncorr_pred
46,47,1,1,rep,1.0,2,010_c,tone,basis,0,2.0,4,1.0,12.0,0,0,1,3,1,,,,new,new,nan,nan,-0.5,new1,context2,47,test,63000,198.001,context2.010_c.tone.,0.20290629302594573,0.3282531494374542,0.5373974804500367,1.0,1.0,False,context2.010_c.tone.,True,1.0,0.6864375356369576,1.0,0.5751528561334333,3.0,0.7460551361168133,0.27751299418239406
47,48,1,2,rep,2.0,4,118_c,spread,spread,1,5.0,1,1.0,1.0,1,0,0,1,1,,,,rep,rep,rep,new,1.5,rep2,context2,48,test,3000,201.001,context2.118_c.spread.,0.184231466027687,0.33450708228863396,0.5323943341690928,1.0,1.0,False,context2.118_c.spread.,True,1.0,0.687558917011777,1.0,0.5948796507960026,3.0,0.7126890599454987,0.24971429914051868
48,49,1,3,new,2.0,7,095_c,jobs,jobs,1,6.0,1,1.0,1.0,1,0,0,1,1,,,,new,new,new,rep,-1.5,new2,context2,49,test,3000,204.001,context2.095_c.jobs.,0.14250971979473087,0.21154933180126184,0.6307605345589906,1.0,1.0,False,context2.095_c.jobs.,True,1.0,0.5693319889800336,1.0,0.5940816834038102,3.0,0.9722469883717473,0.19335216441743558
49,50,1,4,rep,1.0,8,020_c,basis,east,0,3.0,5,1.0,3.0,0,0,1,3,1,,,,new,new,new,new,-2.5,new3,context2,50,test,3000,207.001,context2.020_c.basis.,0.20877124120668547,0.3188307994775172,0.5449353604179862,1.0,1.0,False,context2.020_c.basis.,True,1.0,0.6898814485751443,1.0,0.5623078852155492,3.0,0.7688479575821039,0.2865452629850561
50,51,1,5,rep,2.0,16,097_c,solid,solid,1,4.0,1,1.0,1.0,1,0,0,1,1,,,,new,new,rep,rep,-0.5,new1,context2,51,test,3000,210.001,context2.097_c.solid.,0.20992667819988484,0.34914342767242684,0.5206852578620585,1.0,1.0,False,context2.097_c.solid.,True,1.0,0.6989953623317322,1.0,0.5911387403145887,3.0,0.6938431067581003,0.2883409933768747
51,52,1,6,new,1.0,19,013_c,feet,feet,1,5.0,1,1.0,1.0,1,0,0,1,1,,,,rep,rep,rep,rep,2.5,rep3,context2,52,test,3000,213.001,context2.013_c.feet.,0.16348267143266987,0.2610190485462354,0.5911847611630118,1.0,1.0,False,context2.013_c.feet.,True,1.0,0.5795304615520127,1.0,0.6118735332538254,3.0,0.8864788661705705,0.22065341327118937
52,53,1,8,rep,1.0,3,029_c,inner,large,0,2.0,7,1.0,7.0,0,0,1,3,1,,,,rep,rep,new,nan,0.5,rep1,context2,53,test,3000,216.001,context2.029_c.inner.,0.20794950633728854,0.3005782022452892,0.5595374382037687,1.0,1.0,False,context2.029_c.inner.,True,1.0,0.6811863142030792,1.0,0.5461298003794101,3.0,0.8176010253485688,0.2852713949046809
53,54,1,9,new,1.0,11,104_c,dropped,fail,0,1.0,7,1.0,7.0,0,0,1,3,1,,,,rep,rep,rep,rep,2.5,rep3,context2,54,test,3000,219.001,context2.104_c.dropped.,0.15102569717207528,0.2410513950818055,0.6071588839345556,1.0,1.0,False,context2.104_c.dropped.,True,1.0,0.5683672175402626,1.0,0.6005475770656787,3.0,0.9358547577245776,0.204180050231218
54,55,1,10,rep,2.0,13,056_c,straight,straight,1,3.0,1,1.0,1.0,1,0,0,1,1,,,,rep,rep,new,rep,0.5,rep1,context2,55,test,3000,222.001,context2.056_c.straight.,0.1702039004485888,0.3374338292000516,0.5300529366399588,1.0,1.0,False,context2.056_c.straight.,True,1.0,0.6898814485751443,1.0,0.6024596589744383,3.0,0.6978516282294723,0.2298489305676959
55,56,1,11,rep,2.0,14,014_c,useful,open,0,2.0,7,1.0,7.0,0,0,1,3,1,,,,rep,rep,rep,new,1.5,rep2,context2,56,test,3000,225.001,context2.014_c.useful.,0.21343892693818053,0.3374338292000516,0.5300529366399588,1.0,1.0,False,context2.014_c.useful.,True,1.0,0.6898814485751443,1.0,0.5667770072020833,3.0,0.7464664206215917,0.29383190595265707
56,57,1,12,new,2.0,15,032_c,indicate,follow,0,1.0,7,1.0,7.0,0,0,1,3,1,,,,rep,rep,rep,rep,2.5,rep3,context2,57,test,3000,228.001,context2.032_c.indicate.,0.10607501176471461,0.13052895681648732,0.6955768345468102,1.0,1.0,False,context2.032_c.indicate.,True,1.0,0.5693319889800336,1.0,0.54485108347943,3.0,1.127734695370521,0.15110048840476625
57,58,1,13,rep,1.0,17,127_c,birds,birds,1,3.0,1,1.0,1.0,1,0,0,1,1,,,,rep,rep,new,rep,0.5,rep1,context2,58,test,3000,231.001,context2.127_c.birds.,0.2019675117701476,0.3389621656039877,0.52883026751681,1.0,1.0,False,context2.127_c.birds.,True,1.0,0.6910851015298298,1.0,0.5934392261119328,3.0,0.7072298773346779,0.2760802538587594
58,59,1,14,rep,1.0,10,128_c,spot,heart,0,2.0,7,1.0,7.0,0,0,1,3,1,,,,rep,rep,rep,new,1.5,rep2,context2,59,test,3000,234.001,context2.128_c.spot.,0.16648116747021682,0.32785218696024926,0.5377182504318005,1.0,1.0,False,context2.128_c.spot.,True,1.0,0.68219234297115,1.0,0.5964265097658125,3.0,0.7218828760445011,0.22472946605404742
59,60,1,15,rep,1.0,12,002_c,increase,order,0,2.0,5,1.0,3.0,0,0,1,3,1,,,,new,new,rep,rep,-0.5,new1,context2,60,test,3000,237.001,context2.002_c.increase.,0.20571813975743422,0.2959196728128438,0.563264261749725,1.0,1.0,False,context2.002_c.increase.,True,1.0,0.6832195764259396,1.0,0.5404055937308311,3.0,0.8282407304208621,0.281825967483626
